＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　生　　,0.1,0.2,32.2,0.0,35.1
＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　乾　　,0.2,0.3,86.7,0.1,97.22
＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　乾　ゆで　　,0.0,0.2,20.6,0.0,20.1
＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　緑豆はるさめ　乾　,0.2,0.4,87.5,0.0,55.63
＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　緑豆はるさめ　ゆで　,0.0,0.1,20.6,0.0,7.1
＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　普通はるさめ　乾　,0.0,0.2,86.6,0.0,110.46000000000001
＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　普通はるさめ　ゆで　,0.0,0.0,19.9,0.0,24.110000000000003
（砂糖類）　黒砂糖　　　,1.7,0.0,89.7,46.720000000000006,1448.44
（砂糖類）　和三盆糖　　　,0.2,0.0,98.8,2.49,198.26999999999998
（砂糖類）　車糖　上白糖　　,0.0,0.0,99.2,0.0,3.01
（砂糖類）　車糖　三温糖　　,0.0,0.0,98.7,0.01,21.17
（砂糖類）　ざらめ糖　グラニュー糖　　,0.0,0.0,100.0,0.1,0.0
（砂糖類）　ざらめ糖　白ざら糖　　,0.0,0.0,100.0,0.0,0.0
（砂糖類）　ざらめ糖　中ざら糖　　,0.0,0.0,100.0,0.0,1.12
（砂糖類）　加工糖　角砂糖　　,0.0,0.0,100.0,0.0,0.11
（砂糖類）　加工糖　氷砂糖　　,0.0,0.0,100.0,0.0,0.1
（砂糖類）　加工糖　コーヒーシュガー　　,0.1,0.0,99.9,0.0,2.4099999999999997
（砂糖類）　加工糖　粉糖　　,0.0,0.0,99.7,0.0,1.2
（砂糖類）　液糖　しょ糖型液糖　　,0.0,0.0,70.0,0.0,0.01
（砂糖類）　液糖　転化型液糖　　,0.0,0.0,79.3,0.0,0.0
（砂糖類）　氷糖みつ　　　,0.2,0.0,68.2,0.13,0.7999999999999999
（でん粉糖類）　粉あめ　　　,0.0,0.0,97.0,0.0,1.1
（でん粉糖類）　水あめ　酵素糖化　　,0.0,0.0,85.0,0.0,1.11
（でん粉糖類）　水あめ　酸糖化　　,0.0,0.0,85.0,0.0,1.11
（でん粉糖類）　ぶどう糖　全糖　　,0.0,0.0,91.0,0.0,1.1
（でん粉糖類）　ぶどう糖　含水結晶　　,0.0,0.0,91.3,0.0,0.11
（でん粉糖類）　ぶどう糖　無水結晶　　,0.0,0.0,99.7,0.0,0.1
（でん粉糖類）　果糖　　　,0.0,0.0,99.9,0.0,0.0
（でん粉糖類）　異性化液糖　ぶどう糖果糖液糖　　,0.0,0.0,75.0,0.0,1.1
（でん粉糖類）　異性化液糖　果糖ぶどう糖液糖　　,0.0,0.0,75.0,0.0,1.1
（でん粉糖類）　異性化液糖　高果糖液糖　　,0.0,0.0,75.0,0.0,1.1
（その他）　黒蜜　,1.0,0.0,50.5,26.66,819.04
（その他）　はちみつ　,0.2,0.0,79.7,1.6600000000000001,27.05
（その他）　メープルシロップ　　　,0.1,0.0,66.3,1.25,338.91999999999996
あずき　全粒　乾　　　,20.3,2.2,58.7,173.79999999999998,2266.3700000000003
あずき　全粒　ゆで　　　,8.9,1.0,24.2,38.68,732.9
あずき　ゆで小豆缶詰　　　,4.4,0.4,49.2,20.55,291.09999999999997
あずき　あん　こしあん　　,9.8,0.6,27.1,14.44,204.13
あずき　あん　さらしあん　　,26.2,1.0,66.8,22.96,722.2099999999999
あずき　あん　つぶしあん　　,5.6,0.6,54.0,17.36,277.79999999999995
いんげんまめ　全粒　乾　　　,19.9,2.2,57.8,121.28999999999999,2305.15
いんげんまめ　全粒　ゆで　　　,8.5,1.0,24.8,42.29,758.2600000000001
いんげんまめ　うずら豆　,6.7,1.3,49.6,27.42,399.04
いんげんまめ　こしあん　　　,9.4,0.9,27.0,18.7,238.59
いんげんまめ　豆きんとん　　　,4.9,0.5,56.2,17.92,256.09000000000003
えんどう　全粒　青えんどう　乾　　,21.7,2.3,60.4,263.4,1718.59
えんどう　全粒　赤えんどう　乾　　,21.7,2.3,60.4,107.4,1718.59
えんどう　全粒　青えんどう　ゆで　　,9.2,1.0,25.2,114.61999999999999,465.80999999999995
えんどう　全粒　赤えんどう　ゆで　　,9.2,1.0,25.2,36.620000000000005,465.80999999999995
えんどう　グリンピース（揚げ豆）　　　,20.8,11.6,58.8,71.29,1508.42
えんどう　塩豆　　　,23.3,2.4,61.5,187.29999999999995,2760.8
えんどう　うぐいす豆　,5.6,0.7,52.9,21.309999999999995,277.45
ささげ　全粒　乾　　　,23.9,2.0,55.0,385.64000000000004,2448.21
ささげ　全粒　ゆで　　　,10.2,0.9,23.8,83.97999999999999,795.33
そらまめ　全粒　乾　　　,26.0,2.0,55.9,305.39,2035.5
そらまめ　フライビーンズ　　　,24.7,20.8,46.4,193.57,1337.87
そらまめ　おたふく豆　,7.9,1.2,52.2,38.12,337.42
そらまめ　ふき豆　,9.6,1.6,52.5,42.0,322.97999999999996
そらまめ　しょうゆ豆　,9.8,0.9,37.1,66.24,490.76
だいず　［全粒・全粒製品］　全粒　国産　黄大豆　乾　,33.8,19.7,29.5,354.14,3161.4800000000005
だいず　［全粒・全粒製品］　全粒　国産　黒大豆　乾　,33.9,18.1,30.8,518.39,3066.43
だいず　［全粒・全粒製品］　全粒　国産　黄大豆　ゆで　,14.8,9.8,8.4,74.61,982.33
だいず　［全粒・全粒製品］　全粒　米国産　黄大豆　乾　,33.0,21.7,28.8,330.63,3085.0699999999997
だいず　［全粒・全粒製品］　全粒　中国産　黄大豆　乾　,32.8,19.5,30.8,380.57000000000005,2707.8100000000004
だいず　［全粒・全粒製品］　全粒　ブラジル産　黄大豆　乾　,33.6,22.6,30.7,357.48999999999995,3558.15
だいず　［全粒・全粒製品］　いり大豆　黄大豆　,37.5,21.6,33.3,374.09999999999997,3427.3499999999995
だいず　［全粒・全粒製品］　いり大豆　黒大豆　,36.4,22.0,34.3,406.98,3350.3299999999995
だいず　［全粒・全粒製品］　いり大豆　青大豆　,37.7,20.7,33.9,371.04,3883.0899999999997
だいず　［全粒・全粒製品］　水煮缶詰　黄大豆　　,12.9,6.7,7.7,29.240000000000006,579.02
だいず　［全粒・全粒製品］　蒸し大豆　黄大豆 　,16.6,9.8,13.8,129.67,1291.4399999999998
だいず　［全粒・全粒製品］　きな粉　全粒大豆　黄大豆　,36.7,25.7,28.5,314.04,3522.97
だいず　［全粒・全粒製品］　きな粉　全粒大豆　青大豆　,37.0,22.8,29.3,482.59999999999997,3565.4800000000005
だいず　［全粒・全粒製品］　きな粉　脱皮大豆　黄大豆　,37.5,25.1,29.5,369.13,3505.75
だいず　［全粒・全粒製品］　大豆はいが　　,37.8,14.7,39.5,727.01,2441.69
だいず　［全粒・全粒製品］　ぶどう豆　,14.1,9.4,37.0,74.78999999999999,675.69
だいず　［豆腐・油揚げ類］　木綿豆腐　,6.6,4.2,1.6,33.870000000000005,520.03
だいず　［豆腐・油揚げ類］　絹ごし豆腐　　,4.9,3.0,2.0,26.59,344.76
だいず　［豆腐・油揚げ類］　ソフト豆腐　　,5.1,3.3,2.0,23.770000000000003,356.69
だいず　［豆腐・油揚げ類］　充てん豆腐　　,5.0,3.1,2.5,38.309999999999995,384.01000000000005
だいず　［豆腐・油揚げ類］　沖縄豆腐　　,9.1,7.2,0.7,37.9,499.82
だいず　［豆腐・油揚げ類］　ゆし豆腐　　,4.3,2.8,1.7,26.61,361.64
